Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0253474,2015-12-27,2015-12-27,,"Il pianista","The Pianist",https://www.imdb.com/title/tt0253474/,Film,8.5,150,2002,"Biografico, Drammatico, Musica, Guerra",1000416,2002-10-25,"Roman Polanski",,
2,tt0119174,2016-05-09,2016-05-09,,"The Game - Nessuna regola","The Game",https://www.imdb.com/title/tt0119174/,Film,7.7,129,1997,"Drammatico, Giallo, Thriller",465022,1998-03-13,"David Fincher",,
3,tt0425210,2016-05-09,2016-05-09,,"Slevin - Patto criminale","Lucky Number Slevin",https://www.imdb.com/title/tt0425210/,Film,7.7,110,2006,"Poliziesco, Drammatico, Thriller",337183,2006-08-18,"Paul McGuigan",,
4,tt0166476,2016-06-08,2016-06-08,,"Amore tossico","Amore tossico",https://www.imdb.com/title/tt0166476/,Film,7.2,90,1983,"Poliziesco, Drammatico",1522,1983-09-05,"Claudio Caligari",,
5,tt0161292,2016-06-09,2016-06-09,,"Bleeder","Bleeder",https://www.imdb.com/title/tt0161292/,Film,6.8,98,1999,"Poliziesco, Drammatico",10275,1999-08-06,"Nicolas Winding Refn",,
6,tt0289944,2016-06-09,2016-06-09,,"Fear X","Fear X",https://www.imdb.com/title/tt0289944/,Film,6.0,91,2003,"Thriller",8833,2003-04-04,"Nicolas Winding Refn",,
7,tt0396184,2016-06-09,2016-06-09,,"Pusher II - Sangue sulle mie mani","Pusher II",https://www.imdb.com/title/tt0396184/,Film,7.3,100,2004,"Azione, Poliziesco, Drammatico",28637,2004-12-25,"Nicolas Winding Refn",,
8,tt0425379,2016-06-09,2016-06-09,,"Pusher 3 - L'angelo della morte","Pusher III",https://www.imdb.com/title/tt0425379/,Film,7.3,108,2005,"Poliziesco, Drammatico, Thriller",20467,2005-09-02,"Nicolas Winding Refn",,
9,tt0862467,2016-06-09,2016-06-09,,"Valhalla Rising - Regno di sangue","Valhalla Rising",https://www.imdb.com/title/tt0862467/,Film,6.0,93,2009,"Avventura, Drammatico, Fantastico",66204,2010-03-31,"Nicolas Winding Refn",,
10,tt0054331,2016-06-09,2016-06-09,,"Spartacus","Spartacus",https://www.imdb.com/title/tt0054331/,Film,7.9,197,1960,"Avventura, Biografico, Drammatico, Storico, Guerra",150922,1960-12-07,"Stanley Kubrick",,
11,tt0093058,2016-06-09,2016-06-09,,"Full Metal Jacket","Full Metal Jacket",https://www.imdb.com/title/tt0093058/,Film,8.2,116,1987,"Drammatico, Guerra",842735,1987-10-09,"Stanley Kubrick",,
12,tt0120663,2016-06-09,2016-06-09,,"Eyes Wide Shut","Eyes Wide Shut",https://www.imdb.com/title/tt0120663/,Film,7.5,159,1999,"Drammatico, Giallo, Thriller",417676,1999-10-01,"Stanley Kubrick",,
